retardo_ms,timeout_s,repeticion,codigo_http,latencia_ms
500,2.0,1,503,2435.1
500,2.0,1,503,2489.0
500,2.0,1,503,2495.3
500,2.0,1,503,2502.1
500,2.0,1,503,2497.3
500,2.0,1,503,2502.4
500,2.0,1,503,2499.9
500,2.0,1,503,2503.2
500,2.0,1,503,2544.6
500,2.0,1,503,2541.6
500,2.0,1,503,2509.4
500,2.0,1,503,2511.7
500,2.0,1,503,2514.2
500,2.0,1,503,2516.0
500,2.0,1,503,2519.5
500,2.0,1,503,2518.9
500,2.0,1,503,2517.0
500,2.0,1,503,2513.5
500,2.0,1,503,2482.0
500,2.0,1,503,2482.4
500,2.0,1,503,2617.2
500,2.0,1,503,2532.7
500,2.0,1,503,2529.6
500,2.0,1,503,2525.7
500,2.0,1,503,2574.4
500,2.0,1,503,2674.3
500,2.0,1,503,2635.6
500,2.0,1,503,2608.9
500,2.0,1,503,2514.3
500,2.0,1,503,2504.3
500,2.0,1,503,2493.3
500,2.0,1,503,2506.6
500,2.0,1,503,2509.0
500,2.0,1,503,2466.0
500,2.0,1,503,2441.0
500,2.0,1,503,2422.5
500,2.0,1,503,2395.9
500,2.0,1,503,2115.6
500,2.0,1,503,2499.1
500,2.0,1,503,2493.9
500,2.0,1,503,2485.0
500,2.0,1,503,2469.7
500,2.0,1,503,2498.2
500,2.0,1,503,2476.3
500,2.0,1,503,2478.6
500,2.0,1,503,2478.4
500,2.0,1,503,2479.2
500,2.0,1,503,2478.4
500,2.0,1,503,2540.9
500,2.0,1,503,2540.8
500,2.0,1,503,2521.2
500,2.0,1,503,2507.9
500,2.0,1,503,2514.3
500,2.0,1,503,2513.6
500,2.0,1,503,2524.0
500,2.0,1,503,2512.9
500,2.0,1,503,2524.9
500,2.0,1,503,2514.5
500,2.0,1,503,2475.6
500,2.0,1,503,2476.3
500,2.0,1,503,2536.6
500,2.0,1,503,2538.1
500,2.0,1,503,2531.7
500,2.0,1,503,2578.2
500,2.0,1,503,2594.8
500,2.0,1,503,2612.2
500,2.0,1,503,2635.3
500,2.0,1,503,2663.4
500,30.0,1,201,1049.2
500,30.0,1,201,1064.1
500,30.0,1,201,1049.5
500,30.0,1,201,1056.2
500,30.0,1,201,1062.1
500,30.0,1,201,1059.6
500,30.0,1,201,1050.2
500,30.0,1,201,1148.0
500,30.0,1,201,1061.6
500,30.0,1,201,1142.1
500,30.0,1,201,1046.0
500,30.0,1,201,1137.2
500,30.0,1,201,1047.6
500,30.0,1,201,1138.7
500,30.0,1,201,1142.0
500,30.0,1,201,1047.4
500,30.0,1,201,2552.7
500,30.0,1,201,2144.1
500,30.0,1,201,2125.8
500,30.0,1,201,2045.8
500,30.0,1,201,2150.5
500,30.0,1,201,2121.0
500,30.0,1,201,1604.5
500,30.0,1,201,1143.0
500,30.0,1,201,1539.5
500,30.0,1,201,1596.6
500,30.0,1,201,1138.8
500,30.0,1,201,2041.4
500,30.0,1,201,2548.9
500,30.0,1,201,2122.9
500,30.0,1,201,1710.4
500,30.0,1,201,2041.6
500,30.0,1,201,2128.3
500,30.0,1,201,1707.4
500,30.0,1,201,1599.2
500,30.0,1,201,1708.5
500,30.0,1,201,2545.0
500,30.0,1,201,2731.2
500,30.0,1,201,2541.2
500,30.0,1,201,2732.1
500,30.0,1,201,1659.9
500,30.0,1,201,2720.8
500,30.0,1,201,2727.0
500,30.0,1,201,2544.0
500,30.0,1,201,1703.5
500,30.0,1,201,2731.1
500,30.0,1,201,2717.5
500,30.0,1,201,3140.5
500,30.0,1,201,3142.5
500,30.0,1,201,3142.5
500,30.0,1,201,2124.5
500,30.0,1,201,2124.7
500,30.0,1,201,2200.8
500,30.0,1,201,2200.3
500,30.0,1,201,2701.6
500,30.0,1,201,2323.5
500,30.0,1,201,2323.0
500,30.0,1,201,2319.6
500,30.0,1,201,2693.5
500,30.0,1,201,2314.9
500,30.0,1,201,2692.1
500,30.0,1,201,2616.9
500,30.0,1,201,2660.7
500,30.0,1,201,2611.9
500,30.0,1,201,2742.3
500,30.0,1,201,2658.2
500,30.0,1,201,2745.8
500,30.0,1,201,2744.4
500,30.0,1,201,2349.6
500,30.0,1,201,2651.9
500,30.0,1,201,2648.3
500,30.0,1,201,2647.4
500,30.0,1,201,2586.0
500,30.0,1,201,2699.5
500,30.0,1,201,2692.7
500,30.0,1,201,2689.3
500,30.0,1,201,2687.1
500,30.0,1,201,2214.3
500,30.0,1,201,2261.6
500,30.0,1,201,2260.4
500,30.0,1,201,2699.3
500,30.0,1,201,2690.5
500,30.0,1,201,2761.1
500,30.0,1,201,2685.1
500,30.0,1,201,2686.4
500,30.0,1,201,2673.9
500,30.0,1,201,2327.6
500,30.0,1,201,2530.8
500,30.0,1,201,2534.3
500,30.0,1,201,2532.7
500,30.0,1,201,2533.8
500,30.0,1,201,2584.7
500,30.0,1,201,2586.2
500,30.0,1,201,2580.5
500,30.0,1,201,2580.9
500,30.0,1,201,2581.0
500,30.0,1,201,2649.8
500,30.0,1,201,2240.2
500,30.0,1,201,2527.5
500,30.0,1,201,2527.9
500,30.0,1,201,2528.7
500,30.0,1,201,2525.3
500,30.0,1,201,2643.9
500,30.0,1,201,2644.5
500,30.0,1,201,2519.7
500,30.0,1,201,2520.5
500,30.0,1,201,2522.1
500,30.0,1,201,2539.2
500,30.0,1,201,2165.7
500,30.0,1,201,2344.2
500,30.0,1,201,2344.0
500,30.0,1,201,2443.4
500,30.0,1,201,2520.6
500,30.0,1,201,2533.9
500,30.0,1,201,2481.0
500,30.0,1,201,2455.6
500,30.0,1,201,2521.1
500,30.0,1,201,2503.5
500,30.0,1,201,2539.5
500,30.0,1,201,2188.1
500,30.0,1,201,2352.9
500,30.0,1,201,2443.8
500,30.0,1,201,2523.5
500,30.0,1,201,2526.2
500,30.0,1,201,2535.5
500,30.0,1,201,2523.4
500,30.0,1,201,2514.9
500,30.0,1,201,2537.1
500,30.0,1,201,2491.9
500,30.0,1,201,2518.8
500,30.0,1,201,2297.6
500,30.0,1,201,2382.2
500,30.0,1,201,2470.8
500,30.0,1,201,2476.5
500,30.0,1,201,2516.8
500,30.0,1,201,2477.2
500,30.0,1,201,2519.0
500,30.0,1,201,2340.3
500,30.0,1,201,2370.2
500,30.0,1,201,2358.5
500,30.0,1,201,2534.2
500,30.0,1,201,2397.0
500,30.0,1,201,2477.7
500,30.0,1,201,2486.5
500,30.0,1,201,2540.5
500,30.0,1,201,2545.0
500,30.0,1,201,2517.1
500,30.0,1,201,2532.8
500,30.0,1,201,2264.8
500,30.0,1,201,2276.0
1000,1.0,1,503,1070.0
1000,1.0,1,503,1077.5
1000,1.0,1,503,1084.2
1000,1.0,1,503,1090.5
1000,1.0,1,503,1099.2
1000,1.0,1,503,1095.5
1000,1.0,1,503,1125.0
1000,1.0,1,503,1103.3
1000,1.0,1,503,1128.8
1000,1.0,1,503,1133.3
1000,1.0,1,503,1131.7
1000,1.0,1,503,1120.3
1000,1.0,1,503,1123.7
1000,1.0,1,503,1115.7
1000,1.0,1,503,1130.5
1000,1.0,1,503,1142.4
1000,1.0,1,503,1127.4
1000,1.0,1,503,1173.4
1000,1.0,1,503,1150.0
1000,1.0,1,503,1164.5
1000,1.0,1,503,1159.5
1000,1.0,1,503,1157.9
1000,1.0,1,503,1158.4
1000,1.0,1,503,1140.3
1000,1.0,1,503,1167.2
1000,1.0,1,503,1133.7
1000,1.0,1,503,1146.3
1000,1.0,1,503,1163.3
1000,1.0,1,503,1147.5
1000,1.0,1,503,1154.4
1000,1.0,1,503,1162.7
1000,1.0,1,503,1161.3
1000,1.0,1,503,1142.4
1000,1.0,1,503,1147.9
1000,1.0,1,503,1131.2
1000,1.0,1,503,1150.7
1000,1.0,1,503,1135.6
1000,1.0,1,503,1161.5
1000,1.0,1,503,1144.7
1000,1.0,1,503,1152.8
1000,1.0,1,503,2050.4
1000,1.0,1,503,2056.7
1000,1.0,1,503,2063.6
1000,1.0,1,503,2084.4
1000,1.0,1,503,2067.7
1000,1.0,1,503,2111.2
1000,1.0,1,503,2072.6
